country,Indicator,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,Markup,,,,,,,0.9168545,1.1866982,1.1234313,1.12905,1.0646898,1.3935903,1.4852929,1.4764355,1.5660825,1.6608012,1.7195357,1.8060985,1.9850681,2.040483,1.7048922,1.8657249,1.8376002,1.972002,2.0854218,1.8453482,1.6208419,1.6155479,1.4940752,1.5615608,1.5142453,1.3942555,1.523193,1.4037699,1.4444703,1.4810609,1.4511269
Australia,Markup,0.99401796,0.91641736,0.95658541,0.95523554,0.9068439,0.92987454,0.88217956,1.0504779,0.9677611,0.99965674,0.98477083,0.96860647,0.98182547,0.98908967,0.98746473,1.0383998,1.0335332,1.0184982,1.0618994,1.0841222,1.1646743,1.3896618,1.3352232,1.3392624,1.3254594,1.422313,1.453552,1.4645801,1.4388943,1.36894,1.5313209,1.5627854,1.5146151,1.4313082,1.5914767,1.5385278,1.5677156
Austria,Markup,0.91905874,0.90757477,0.91525453,0.91376996,0.92738473,0.91053188,0.9348278,0.9054864,0.96882182,1.0432148,1.0972726,1.3257482,1.3248177,1.1443156,1.155303,1.1448604,1.1321504,1.1636759,1.2987125,1.2444037,1.2293332,1.2051294,1.2057709,1.3313388,1.305243,1.1982372,1.1874317,1.2542434,1.1593415,1.1585047,1.2776887,1.16942,1.1704423,1.3216068,1.4051604,1.4935542,1.3256128
Belgium,Markup,1.0269524,0.99605775,0.96415836,1.0035875,1.0286765,0.98100978,0.98689079,0.92827541,0.99661666,1.0170429,1.012071,0.99583638,0.98306274,0.98384559,0.97641301,0.99221051,0.98158169,1.0237346,1.0389873,1.0416247,1.0574852,1.0475318,1.1699195,1.203633,1.2113559,1.4351864,1.4798133,1.5152345,1.5170146,1.5577695,1.5786918,1.6228696,1.6441213,1.781136,1.8569444,1.8468202,2.057785
Brazil,Markup,1.6223694,1.7868639,1.7218683,1.7599186,1.6332316,1.3097531,1.5857736,1.4230528,1.5181671,1.565666,1.7934035,1.4844685,1.5161567,1.8187834,1.6066763,1.5689341,1.5290197,1.7092129,1.5544095,1.6250948,1.5769132,1.6665196,1.607919,1.7186756,1.6558121,1.5293611,1.5625182,1.3455718,1.370611,1.6119453,,,,,,,
Canada,Markup,0.92710769,0.90543938,0.88940102,0.89459825,0.93716377,0.91304708,0.95263904,1.0704082,1.1554638,1.2430401,1.1714702,1.2033435,1.2057576,1.2335747,1.2529793,1.265696,1.2804999,1.2875221,1.2450838,1.3542575,1.3448647,1.2487726,1.3900764,1.5486639,1.4598231,1.464556,1.5027272,1.5670131,1.5573646,1.4962766,1.4884579,1.4574475,1.4790775,1.4909643,1.5439667,1.5295123,1.5325372
Chile,Markup,,,,,,3.3095832,2.5306098,1.5994232,1.6804307,1.5383106,1.4624221,1.4860845,1.6179842,1.6825947,1.7148751,1.6472743,1.5931619,1.5628554,1.6353393,1.48848,1.4909827,1.7009659,1.505789,1.4595395,1.4063728,1.4089677,1.423908,1.3775364,1.3355086,1.4300524,1.4117974,1.3167349,1.3026798,1.4155916,1.3476199,1.347391,1.3748393
China,Markup,,,1.8271302,1.5156256,1.569126,1.5958139,1.2470372,1.1642303,1.1517876,1.0673677,1.0451223,1.0789784,1.1978111,1.2089802,1.1777191,1.2174839,1.2114458,1.3002682,1.2188767,1.364381,1.465449,1.5013299,1.5270605,1.4337395,1.4512882,1.3776361,1.3222501,1.2730604,1.2006507,1.2363635,1.2204291,1.1870441,1.1682403,1.2290872,1.2745156,1.3820102,1.405113
Colombia,Markup,,,,,,,,1.2361541,1.1884134,1.1964012,1.2008532,1.2326851,1.228595,1.139048,1.2183659,1.4415935,1.4698833,1.3770311,2.5681438,1.2512809,1.4249686,1.4089286,1.8645036,1.4717656,1.9412508,1.5622724,1.5733331,1.7616334,1.7013251,1.512048,1.6004851,1.5513523,1.4738624,1.5675665,1.5329556,1.6087931,1.5625318
Denmark,Markup,0.89240128,0.8931101,0.99768609,1.0037999,1.0220958,1.0342383,1.06025,1.1085362,1.1772349,1.1674565,1.1780329,1.1854521,1.2342386,1.2498165,1.4064729,1.4023731,1.4124291,1.4583944,1.5895432,1.417544,1.5275592,1.4417782,1.4281785,1.4411738,1.5050452,1.4970572,1.563152,1.5637079,1.5969886,1.6259352,1.7274618,1.7030764,1.9623517,1.9785073,2.4001603,2.6034737,2.8446093
Finland,Markup,0.91250134,0.91657323,0.91788429,0.94662851,0.94759458,0.93910557,1.0150213,1.2077792,1.4702473,1.4361849,1.2570877,1.1242872,1.128067,1.1478763,1.158718,1.1646672,1.1124675,1.1545397,1.1940677,1.2176759,1.2450229,1.2348723,1.2116919,1.1912769,1.1686041,1.1790038,1.1739535,1.1842419,1.182866,1.1587416,1.221604,1.1856918,1.187687,1.2577271,1.3074648,1.3119603,1.3564035
France,Markup,0.96840924,0.94931781,0.93955958,0.9493252,0.95434749,0.93745047,0.94163483,1.0778494,1.0849224,1.1308441,1.15794,1.143961,1.1453419,1.1516142,1.1698155,1.1652647,1.2074202,1.1837857,1.2079598,1.2101303,1.2460771,1.2597798,1.2818173,1.3201799,1.2867818,1.3506153,1.3444868,1.3549283,1.3704472,1.4136074,1.3932703,1.3814069,1.3569046,1.4407445,1.4370521,1.4831409,1.5013667
Germany,Markup,1.0653025,1.0737839,1.0637935,1.0487398,1.0519525,1.0098965,1.0162916,1.1481584,1.1007707,1.1530123,1.1454642,1.1636913,1.1525199,1.1574907,1.1999661,1.1936989,1.2071601,1.2034624,1.2290994,1.2386193,1.2462593,1.2238665,1.2783329,1.2936537,1.3018601,1.2962291,1.3032961,1.319746,1.2748575,1.2710941,1.2813351,1.2520727,1.263847,1.2621626,1.2644119,1.2828934,1.3536361
