Country,Year,Markup
ANGUILLA,2000,0.86280382
ANGUILLA,2001,1.3767829
ANGUILLA,2002,1.7621175
ANGUILLA,2003,3.5949841
ANGUILLA,2004,4.0468407
ANGUILLA,2005,3.5419121
ANGUILLA,2006,2.5917614
ANGUILLA,2007,1.4153076
ANGUILLA,2008,1.2732884
ANGUILLA,2009,1.2973648
ANGUILLA,2010,0.76649386
ARGENTINA,1986,0.9168545
ARGENTINA,1987,1.1866982
ARGENTINA,1988,1.1234313
ARGENTINA,1989,1.12905
ARGENTINA,1990,1.0646898
ARGENTINA,1991,1.3935903
ARGENTINA,1992,1.4852929
ARGENTINA,1993,1.4764355
ARGENTINA,1994,1.5660825
ARGENTINA,1995,1.6608012
ARGENTINA,1996,1.7195357
ARGENTINA,1997,1.8060985
ARGENTINA,1998,1.9850681
ARGENTINA,1999,2.040483
ARGENTINA,2000,1.7048922
ARGENTINA,2001,1.8657249
ARGENTINA,2002,1.8376002
ARGENTINA,2003,1.972002
ARGENTINA,2004,2.0854218
ARGENTINA,2005,1.8453482
ARGENTINA,2006,1.6208419
ARGENTINA,2007,1.6155479
ARGENTINA,2008,1.4940752
ARGENTINA,2009,1.5615608
ARGENTINA,2010,1.5142453
ARGENTINA,2011,1.3942555
ARGENTINA,2012,1.523193
ARGENTINA,2013,1.4037699
ARGENTINA,2014,1.4444703
ARGENTINA,2015,1.4810609
ARGENTINA,2016,1.4511269
AUSTRALIA,1980,0.99401796
AUSTRALIA,1981,0.91641736
AUSTRALIA,1982,0.95658541
AUSTRALIA,1983,0.95523554
AUSTRALIA,1984,0.9068439
AUSTRALIA,1985,0.92987454
AUSTRALIA,1986,0.88217956
AUSTRALIA,1987,1.0504779
AUSTRALIA,1988,0.9677611
AUSTRALIA,1989,0.99965674
AUSTRALIA,1990,0.98477083
AUSTRALIA,1991,0.96860647
AUSTRALIA,1992,0.98182547
AUSTRALIA,1993,0.98908967
AUSTRALIA,1994,0.98746473
AUSTRALIA,1995,1.0383998
AUSTRALIA,1996,1.0335332
AUSTRALIA,1997,1.0184982
AUSTRALIA,1998,1.0618994
AUSTRALIA,1999,1.0841222
AUSTRALIA,2000,1.1646743
AUSTRALIA,2001,1.3896618
AUSTRALIA,2002,1.3352232
AUSTRALIA,2003,1.3392624
AUSTRALIA,2004,1.3254594
AUSTRALIA,2005,1.422313
AUSTRALIA,2006,1.453552
AUSTRALIA,2007,1.4645801
AUSTRALIA,2008,1.4388943
AUSTRALIA,2009,1.36894
AUSTRALIA,2010,1.5313209
AUSTRALIA,2011,1.5627854
AUSTRALIA,2012,1.5146151
AUSTRALIA,2013,1.4313082
AUSTRALIA,2014,1.5914767
AUSTRALIA,2015,1.5385278
AUSTRALIA,2016,1.5677156
AUSTRIA,1980,0.91905874
AUSTRIA,1981,0.90757477
AUSTRIA,1982,0.91525453
AUSTRIA,1983,0.91376996
AUSTRIA,1984,0.92738473
AUSTRIA,1985,0.91053188
AUSTRIA,1986,0.9348278
AUSTRIA,1987,0.9054864
AUSTRIA,1988,0.96882182
AUSTRIA,1989,1.0432148
AUSTRIA,1990,1.0972726
AUSTRIA,1991,1.3257482
AUSTRIA,1992,1.3248177
AUSTRIA,1993,1.1443156
AUSTRIA,1994,1.155303
AUSTRIA,1995,1.1448604
AUSTRIA,1996,1.1321504
AUSTRIA,1997,1.1636759
AUSTRIA,1998,1.2987125
AUSTRIA,1999,1.2444037
AUSTRIA,2000,1.2293332
AUSTRIA,2001,1.2051294
AUSTRIA,2002,1.2057709
AUSTRIA,2003,1.3313388
AUSTRIA,2004,1.305243
AUSTRIA,2005,1.1982372
AUSTRIA,2006,1.1874317
AUSTRIA,2007,1.2542434
AUSTRIA,2008,1.1593415
AUSTRIA,2009,1.1585047
AUSTRIA,2010,1.2776887
AUSTRIA,2011,1.16942
AUSTRIA,2012,1.1704423
AUSTRIA,2013,1.3216068
AUSTRIA,2014,1.4051604
AUSTRIA,2015,1.4935542
AUSTRIA,2016,1.3256128
AZERBAIJAN,2009,2.4940028
AZERBAIJAN,2010,2.9369476
AZERBAIJAN,2011,3.1373863
AZERBAIJAN,2012,2.1426668
AZERBAIJAN,2013,1.292537
AZERBAIJAN,2014,1.1545196
AZERBAIJAN,2015,1.2347834
BAHAMAS,1998,1.2575977
BAHAMAS,1999,0.75256205
BAHAMAS,2000,0.99089903
BAHAMAS,2002,1.7754482
BAHAMAS,2003,1.5566878
BAHAMAS,2004,1.9573226
BAHAMAS,2005,1.8071262
BAHAMAS,2006,1.7780259
BAHAMAS,2007,1.7530359
BAHAMAS,2008,1.822419
BAHAMAS,2009,1.2780209
BAHAMAS,2010,1.254583
BAHAMAS,2011,1.1548991
BAHAMAS,2012,1.5465512
BAHAMAS,2013,1.4956385
BAHAMAS,2014,1.6634644
BAHAMAS,2015,1.2998872
BAHAMAS,2016,1.3618453
BAHRAIN,2003,1.230624
BAHRAIN,2004,1.2289876
BAHRAIN,2005,2.5199692
BAHRAIN,2006,2.3607895
BAHRAIN,2007,1.442591
BAHRAIN,2008,1.5146226
BAHRAIN,2009,1.5832697
BAHRAIN,2010,1.6033385
BAHRAIN,2011,1.5005183
BAHRAIN,2012,1.4257249
BAHRAIN,2013,1.5363375
BAHRAIN,2014,1.8720125
BAHRAIN,2015,2.1311369
BAHRAIN,2016,1.8923782
BANGLADESH,2005,2.2881968
BANGLADESH,2006,2.1414051
BANGLADESH,2007,2.0239375
BANGLADESH,2008,1.5040785
BANGLADESH,2009,1.5297331
BANGLADESH,2010,1.4626769
BANGLADESH,2011,1.3950278
BANGLADESH,2012,1.3754876
BANGLADESH,2013,1.6416076
BANGLADESH,2014,1.8028258
BANGLADESH,2015,2.1846182
BANGLADESH,2016,2.2030191
BARBADOS,2005,1.2536039
BARBADOS,2006,1.4125676
BARBADOS,2007,1.3774761
BARBADOS,2008,1.2367558
BARBADOS,2009,1.2883201
BARBADOS,2010,1.3025379
BARBADOS,2011,1.3416008
BARBADOS,2012,1.4223202
BARBADOS,2013,1.8107935
BARBADOS,2014,1.9256427
BARBADOS,2015,1.3414731
BARBADOS,2016,0.95353532
BELGIUM,1980,1.0269524
BELGIUM,1981,0.99605775
BELGIUM,1982,0.96415836
BELGIUM,1983,1.0035875
BELGIUM,1984,1.0286765
BELGIUM,1985,0.98100978
BELGIUM,1986,0.98689079
BELGIUM,1987,0.92827541
BELGIUM,1988,0.99661666
BELGIUM,1989,1.0170429
BELGIUM,1990,1.012071
BELGIUM,1991,0.99583638
BELGIUM,1992,0.98306274
BELGIUM,1993,0.98384559
BELGIUM,1994,0.97641301
BELGIUM,1995,0.99221051
BELGIUM,1996,0.98158169
BELGIUM,1997,1.0237346
BELGIUM,1998,1.0389873
BELGIUM,1999,1.0416247
BELGIUM,2000,1.0574852
BELGIUM,2001,1.0475318
BELGIUM,2002,1.1699195
BELGIUM,2003,1.203633
BELGIUM,2004,1.2113559
BELGIUM,2005,1.4351864
BELGIUM,2006,1.4798133
BELGIUM,2007,1.5152345
BELGIUM,2008,1.5170146
BELGIUM,2009,1.5577695
BELGIUM,2010,1.5786918
BELGIUM,2011,1.6228696
BELGIUM,2012,1.6441213
BELGIUM,2013,1.781136
BELGIUM,2014,1.8569444
BELGIUM,2015,1.8468202
BELGIUM,2016,2.057785
BERMUDA,1982,1.6989611
BERMUDA,1983,1.7350129
BERMUDA,1984,1.8133461
BERMUDA,1985,1.7949418
BERMUDA,1986,1.6680714
BERMUDA,1987,1.418807
BERMUDA,1988,1.3200573
BERMUDA,1989,1.2621212
BERMUDA,1990,1.2026929
BERMUDA,1991,1.1061183
BERMUDA,1992,1.0747119
BERMUDA,1993,1.017814
BERMUDA,1994,0.89281225
BERMUDA,1995,0.87006104
BERMUDA,1996,0.89618957
BERMUDA,1997,0.9196763
BERMUDA,1998,0.98512429
BERMUDA,1999,1.1433553
BERMUDA,2000,1.4087228
BERMUDA,2001,1.3657345
BERMUDA,2002,1.2831328
BERMUDA,2003,1.3329135
BERMUDA,2004,2.0799232
BERMUDA,2005,2.038558
BERMUDA,2006,1.8264788
BERMUDA,2007,1.7282549
BERMUDA,2008,1.7413952
BERMUDA,2009,1.7762715
BERMUDA,2010,1.8084849
BERMUDA,2011,1.868922
BERMUDA,2012,1.7420218
BERMUDA,2013,1.7521515
BERMUDA,2014,2.0132711
BERMUDA,2015,1.9102885
BERMUDA,2016,1.95161
BOLIVIA,2005,3.1112788
BOLIVIA,2006,2.0268025
BOLIVIA,2007,1.1888634
BOLIVIA,2008,2.8083599
BOLIVIA,2009,1.886759
BOLIVIA,2010,1.5282242
BOLIVIA,2011,1.2899954
BOLIVIA,2012,1.4823037
BOLIVIA,2013,5.9370451
BOLIVIA,2014,4.9188766
BOLIVIA,2015,3.596246
BOLIVIA,2016,2.1677191
BOSNIA_&_HERZEGOVINA,2005,1.9717189
BOSNIA_&_HERZEGOVINA,2006,1.9396944
BOSNIA_&_HERZEGOVINA,2007,1.7371148
BOSNIA_&_HERZEGOVINA,2008,1.769256
BOSNIA_&_HERZEGOVINA,2009,1.7619041
BOSNIA_&_HERZEGOVINA,2010,1.8401258
BOSNIA_&_HERZEGOVINA,2011,1.6387466
BOSNIA_&_HERZEGOVINA,2012,1.6603953
BOSNIA_&_HERZEGOVINA,2013,3.1216795
BOSNIA_&_HERZEGOVINA,2014,3.2075756
BOSNIA_&_HERZEGOVINA,2015,3.6152387
BOSNIA_&_HERZEGOVINA,2016,2.5153642
BOTSWANA,2005,1.2971699
BOTSWANA,2006,1.273068
BOTSWANA,2007,1.1815177
BOTSWANA,2008,1.2649858
BOTSWANA,2009,1.1728244
BOTSWANA,2010,1.2465022
BOTSWANA,2011,1.3721762
BOTSWANA,2012,1.2580723
BOTSWANA,2013,1.399366
BOTSWANA,2014,1.4054447
BOTSWANA,2015,1.4003161
BOTSWANA,2016,1.2473309
BRAZIL,1987,1.6223694
BRAZIL,1988,1.7868639
BRAZIL,1989,1.7218683
BRAZIL,1990,1.7599186
BRAZIL,1991,1.6332316
BRAZIL,1992,1.3097531
BRAZIL,1993,1.5857736
BRAZIL,1994,1.4230528
BRAZIL,1995,1.5181671
BRAZIL,1996,1.565666
BRAZIL,1997,1.7934035
BRAZIL,1998,1.4844685
BRAZIL,1999,1.5161567
BRAZIL,2000,1.8187834
BRAZIL,2001,1.6066763
BRAZIL,2002,1.5689341
BRAZIL,2003,1.5290197
BRAZIL,2004,1.7092129
BRAZIL,2005,1.5544095
BRAZIL,2006,1.6250948
BRAZIL,2007,1.5769132
BRAZIL,2008,1.6665196
BRAZIL,2009,1.607919
BRAZIL,2010,1.7186756
BRAZIL,2011,1.6558121
BRAZIL,2012,1.5293611
BRAZIL,2013,1.5625182
BRAZIL,2014,1.3455718
BRAZIL,2015,1.370611
BRAZIL,2016,1.6119453
BRITISH_VIRGIN_ISLANDS,2001,1.334887
BRITISH_VIRGIN_ISLANDS,2002,1.3161938
