geo,time,Markup
aia,2000,0.86280382
aia,2001,1.3767829
aia,2002,1.7621175
aia,2003,3.5949841
aia,2004,4.0468407
aia,2005,3.5419121
aia,2006,2.5917614
aia,2007,1.4153076
aia,2008,1.2732884
aia,2009,1.2973648
aia,2010,0.76649386
arg,1986,0.9168545
arg,1987,1.1866982
arg,1988,1.1234313
arg,1989,1.12905
arg,1990,1.0646898
arg,1991,1.3935903
arg,1992,1.4852929
arg,1993,1.4764355
arg,1994,1.5660825
arg,1995,1.6608012
arg,1996,1.7195357
arg,1997,1.8060985
arg,1998,1.9850681
arg,1999,2.040483
arg,2000,1.7048922
arg,2001,1.8657249
arg,2002,1.8376002
arg,2003,1.972002
arg,2004,2.0854218
arg,2005,1.8453482
arg,2006,1.6208419
arg,2007,1.6155479
arg,2008,1.4940752
arg,2009,1.5615608
arg,2010,1.5142453
arg,2011,1.3942555
arg,2012,1.523193
arg,2013,1.4037699
arg,2014,1.4444703
arg,2015,1.4810609
arg,2016,1.4511269
aus,1980,0.99401796
aus,1981,0.91641736
aus,1982,0.95658541
aus,1983,0.95523554
aus,1984,0.9068439
aus,1985,0.92987454
aus,1986,0.88217956
aus,1987,1.0504779
aus,1988,0.9677611
aus,1989,0.99965674
aus,1990,0.98477083
aus,1991,0.96860647
aus,1992,0.98182547
aus,1993,0.98908967
aus,1994,0.98746473
aus,1995,1.0383998
aus,1996,1.0335332
aus,1997,1.0184982
aus,1998,1.0618994
aus,1999,1.0841222
aus,2000,1.1646743
aus,2001,1.3896618
aus,2002,1.3352232
aus,2003,1.3392624
aus,2004,1.3254594
aus,2005,1.422313
aus,2006,1.453552
aus,2007,1.4645801
aus,2008,1.4388943
aus,2009,1.36894
aus,2010,1.5313209
aus,2011,1.5627854
aus,2012,1.5146151
aus,2013,1.4313082
aus,2014,1.5914767
aus,2015,1.5385278
aus,2016,1.5677156
aut,1980,0.91905874
aut,1981,0.90757477
aut,1982,0.91525453
aut,1983,0.91376996
aut,1984,0.92738473
aut,1985,0.91053188
aut,1986,0.9348278
aut,1987,0.9054864
aut,1988,0.96882182
aut,1989,1.0432148
aut,1990,1.0972726
aut,1991,1.3257482
aut,1992,1.3248177
aut,1993,1.1443156
aut,1994,1.155303
aut,1995,1.1448604
aut,1996,1.1321504
aut,1997,1.1636759
aut,1998,1.2987125
aut,1999,1.2444037
aut,2000,1.2293332
aut,2001,1.2051294
aut,2002,1.2057709
aut,2003,1.3313388
aut,2004,1.305243
aut,2005,1.1982372
aut,2006,1.1874317
aut,2007,1.2542434
aut,2008,1.1593415
aut,2009,1.1585047
aut,2010,1.2776887
aut,2011,1.16942
aut,2012,1.1704423
aut,2013,1.3216068
aut,2014,1.4051604
aut,2015,1.4935542
aut,2016,1.3256128
aze,2009,2.4940028
aze,2010,2.9369476
aze,2011,3.1373863
aze,2012,2.1426668
aze,2013,1.292537
aze,2014,1.1545196
aze,2015,1.2347834
bhs,1998,1.2575977
bhs,1999,0.75256205
bhs,2000,0.99089903
bhs,2002,1.7754482
bhs,2003,1.5566878
bhs,2004,1.9573226
bhs,2005,1.8071262
bhs,2006,1.7780259
bhs,2007,1.7530359
bhs,2008,1.822419
bhs,2009,1.2780209
bhs,2010,1.254583
bhs,2011,1.1548991
bhs,2012,1.5465512
bhs,2013,1.4956385
bhs,2014,1.6634644
bhs,2015,1.2998872
bhs,2016,1.3618453
bhr,2003,1.230624
