Country,Year,Markup
world,1980,1.071589
world,1981,1.069448
world,1982,1.087124
world,1983,1.101178
world,1984,1.105689
world,1985,1.108469
world,1986,1.13571
world,1987,1.185493
world,1988,1.204863
world,1989,1.240596
world,1990,1.231234
world,1991,1.249372
world,1992,1.252159
world,1993,1.259378
world,1994,1.269389
world,1995,1.276214
world,1996,1.309086
world,1997,1.353626
world,1998,1.393895
world,1999,1.429931
world,2000,1.456524
world,2001,1.410192
world,2002,1.452185
world,2003,1.454002
world,2004,1.445652
world,2005,1.453111
world,2006,1.453055
world,2007,1.442514
world,2008,1.400375
world,2009,1.408844
world,2010,1.424495
world,2011,1.383233
world,2012,1.377631
world,2013,1.478733
world,2014,1.495516
world,2015,1.561496
world,2016,1.592423
